mq2,mq4,Time
119,2,45:12.6
189,2,00:12.6
150,2,15:12.6
158,2,30:12.6
134,2,45:12.6
140,2,00:12.6
42,2,15:12.6
45,2,30:12.6
135,2,45:12.6
118,2,00:12.6
103,2,15:12.6
128,2,30:12.6
112,2,45:12.6
125,2,00:12.6
131,2,15:12.6
92,2,30:12.6
134,2,45:12.6
114,2,00:12.6
154,2,15:12.6
156,2,30:12.6
96,2,45:12.6
137,2,00:12.6
54,4,15:12.6
50,12,30:12.6
62,9,45:12.6
59,14,00:12.6
49,8,15:12.6
33,5,30:12.6
24,4,45:12.6
21,3,00:12.6
30,2,15:12.6
33,4,30:12.6
39,6,45:12.6
29,4,00:12.6
24,4,15:12.6
34,6,30:12.6
103,22,45:12.6
217,47,00:12.6
340,112,15:12.6
350,141,30:12.6
355,155,45:12.6
355,177,00:12.6
340,193,15:12.6
308,203,30:12.6
291,196,45:12.6
272,196,00:12.6
254,191,15:12.6
238,186,30:12.6
229,184,45:12.6
220,181,00:12.6
209,184,15:12.6
199,198,30:12.6
187,188,45:12.6
178,188,00:12.6
171,191,15:12.6
165,193,30:12.6
159,191,45:12.6
156,188,00:12.6
152,188,15:12.6
149,186,30:12.6
147,184,45:12.6
145,181,00:12.6
143,181,15:12.6
143,179,30:12.6
145,177,45:12.6
145,177,00:12.6
145,174,15:12.6
145,172,30:12.6
149,163,45:12.6
154,161,00:12.6
159,141,15:12.6
163,134,30:12.6
154,132,45:12.6
140,117,00:12.6
145,114,15:12.6
149,100,30:12.6
152,96,45:12.6
161,98,00:12.6
165,109,15:12.6
169,100,30:12.6
174,108,45:12.6
176,109,00:12.6
178,109,15:12.6
171,114,30:12.6
169,111,45:12.6
169,111,00:12.6
171,108,15:12.6
169,112,30:12.6
169,109,45:12.6
171,106,00:12.6
174,105,15:12.6
176,102,30:12.6
178,102,45:12.6
189,112,00:12.6
196,117,15:12.6
201,123,30:12.6
204,129,45:12.6
209,130,00:12.6
212,132,15:12.6
220,134,30:12.6
226,134,45:12.6
235,136,00:12.6
244,137,15:12.6
251,136,30:12.6
265,137,45:12.6
276,137,00:12.6
283,139,15:12.6
299,137,30:12.6
312,139,45:12.6
325,139,00:12.6
340,139,15:12.6
350,139,30:12.6
365,141,45:12.6
387,143,00:12.6
399,139,15:12.6
418,139,30:12.6
431,130,45:12.6
451,122,00:12.6
465,119,15:12.6
473,117,30:12.6
488,117,45:12.6
496,114,00:12.6
488,132,15:12.6
488,125,30:12.6
473,119,45:12.6
465,114,00:12.6
458,111,15:12.6
465,109,30:12.6
444,105,45:12.6
424,123,00:12.6
418,117,15:12.6
411,109,30:12.6
